주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매순서,최대거래대금 시간,최대거래대금,직전 거래대금,양봉개수,10이격도,20이격도,60이격도,종목코드,매수등락률,시가등락률,뉴스기사,분봉전고점
2022-04-28,동일제강,4920,13:22:34,13:22:53,1.0,4,09:51:00,76,1,0,0.05,0.23,-0.52,002690,20.15,10.87,1,8.13
2022-04-29,잇츠한불,30950,09:06:41,09:09:14,0.8299999999999998,1,09:06:00,109,86,3,7.56,9.74,11.63,226320,11.73,1.81,1,0.16
2022-04-29,한국화장품,12150,09:28:29,09:33:50,-2.36,2,09:09:00,105,3,1,1.29,0.31,11.24,123690,21.5,6.5,1,7.0
2022-04-29,오가닉티코스메틱,545,09:36:50,09:38:24,-0.6699999999999999,3,09:12:00,15,5,0,2.66,5.21,16.96,900300,28.24,2.35,1,0.92
2022-04-29,GS글로벌,4640,09:39:13,09:40:53,0.56,4,09:33:00,130,53,0,0.56,3.27,9.9,001250,14.0,-0.98,1,2.8
2022-04-29,한국화장품,11500,09:54:42,09:56:01,0.13,5,09:09:00,105,0,0,-0.52,-1.81,-1.62,123690,15.0,6.5,1,13.04
2022-04-29,GS글로벌,4695,10:00:03,10:02:09,3.3200000000000003,6,09:33:00,130,46,3,1.92,1.74,6.11,001250,15.36,-0.98,1,3.19
2022-04-29,한국석유,17500,12:37:36,12:39:02,0.26999999999999996,7,12:12:00,30,6,0,2.31,3.43,5.1,004090,9.72,2.51,1,0.57
2022-04-29,한국석유,18000,12:51:53,12:52:19,-0.3,8,12:12:00,30,5,0,0.25,2.1,6.17,004090,12.85,2.51,1,1.11
2022-04-29,중앙에너비스,37600,12:55:56,12:57:13,0.5,9,12:55:00,31,5,1,1.77,2.4,4.1,000440,8.99,2.75,1,0.4
2022-04-29,중앙에너비스,38600,12:59:26,13:02:04,0.22000000000000003,10,12:57:00,40,16,5,2.89,4.04,6.37,000440,11.88,2.75,1,0.91
2022-05-02,대한제당우,5460,10:44:07,10:47:27,0.25000000000000006,1,09:47:00,19,1,2,1.04,1.74,1.49,001795,26.24,8.21,0,2.01
2022-05-02,파이버프로,6010,13:52:17,13:52:41,0.2,2,13:52:00,45,11,0,3.26,5.31,6.04,368770,26.0,0.21,0,1.0
2022-05-02,켄코아에어로스페이스,15300,13:56:10,13:57:12,-1.6,3,09:38:00,7,1,0,1.39,1.95,2.72,274090,11.27,4.36,1,0.33
2022-05-02,네온테크,4720,14:00:46,14:01:31,-0.3,4,13:55:00,29,9,0,1.29,3.24,4.52,306620,8.76,-2.76,1,0.21
2022-05-02,켄코아에어로스페이스,15700,14:02:48,14:05:37,-1.26,5,14:02:00,20,8,3,2.55,3.72,5.08,274090,14.18,4.36,1,0.96
2022-05-02,바이오톡스텍,9400,14:19:36,14:21:00,0.6599999999999999,6,10:08:00,124,6,2,1.91,4.5,5.66,086040,20.67,-1.16,1,7.45
2022-05-02,기산텔레콤,5020,14:23:27,14:23:49,-0.3,7,13:54:00,49,7,1,0.59,0.01,4.98,035460,20.1,-2.99,1,3.39
2022-05-02,SNT에너지,23200,14:24:11,14:25:17,-0.73,8,09:36:00,77,4,1,1.29,1.62,3.67,100840,26.78,0.55,0,2.37
2022-05-02,기산텔레콤,5030,14:25:33,14:26:40,-0.7,9,13:54:00,49,3,0,0.77,0.34,4.75,035460,20.33,-2.99,1,3.18
2022-05-02,이지홀딩스,5560,09:07:53,9:11:50,3.49,10,09:02:00,25,10,0,1.96,4.6,4.41,035810,7.96,2.33,1,2.16
2022-05-02,대한제당,5120,09:28:02,9:28:41,-0.3,11,09:03:00,62,16,1,0.6,1.68,14.12,001790,23.97,9.81,1,0.98
2022-05-02,베셀,8810,09:33:58,10:39:15,-5.29,12,09:32:00,37,37,1,4.19,4.86,10.27,177350,12.95,-1.28,1,0.68
